Case_ID,Sale ,list,bedrooms,bathrooms,lotwidth,lotlength,maxsqfoot,taxes,location
1,1675000,1599000,4,4,,,3000,6683,O
3,1038000,1080000,5,4,50,120,3000,6477,O
5,1150000,1169000,4,4,53.32,113.59,3000,6494,O
7,912000,919000,4,3,41.1,100.29,2000,5352,O
10,1050000,1089000,4,3,65.75,94.94,2500,5706,O
11,1075000,1100000,3,3,50,115,1500,5213,O
12,1155000,1150000,4,3,55.97,119.6,2000,6067,O
14,860000,899000,6,3,35.01,296.5,2500,5740,O
15,1110000,1249000,4,2,79.83,120,1500,6032,O
16,1128000,1175000,6,4,39.86,100.06,3000,5717,O
17,1755000,1799000,5,5,49.24,120.41,5000,,O
18,1010000,859000,5,4,33.99,106.63,2000,4829,O
19,3220000,3249850,5,6,100,188,5000,22244,O
20,999888,988888,4,3,28.71,112.14,2500,5818,O
23,2045000,2245000,6,6,60,126,3500,5280,O
24,1055000,979999,6,4,29.76,101.15,2500,5448,O
25,2045000,2245000,6,6,60,126,3500,5280,O
35,910000,939998,4,2,66,115,1500,4680,O
37,890000,949000,3,2,50,220,1500,5031,O
38,1150000,1150000,5,2,45.67,297.87,2000,6421,O
39,982000,999000,6,4,50,120,2500,4970,O
41,800000,799900,3,2,106.9,45,3000,5686,O
42,2212500,2279000,6,5,60,126,5000,14326,O
45,975000,999999,3,2,81.99,108,2000,4700,O
51,1380000,1299900,4,5,40.03,109.71,3000,7293,O
52,2235000,2399000,5,4,66.73,183.53,3500,12220,O
54,1175000,1199000,4,4,135.63,66,2500,5584,O
55,840000,899888,5,4,50,151.42,3000,5711,O
56,1410000,1590000,4,4,55.51,176.05,3000,8587,O
57,975000,975000,4,2,52.76,134,2000,4970,O
58,1038000,1099000,5,4,40.72,113.75,3000,6249,O
60,900000,918888,4,2,60,147,1500,4838,O
61,1269500,1329000,5,5,40,100,3000,6595,O
62,1149000,1249000,4,4,64.99,120,3000,8202,O
63,860000,875000,5,4,22.1,115.94,2000,3924,O
67,925000,949900,4,2,67,220.72,1100,3201,O
70,1300000,1319999,4,5,39.37,115.45,3500,6390,O
76,950000,980000,6,4,50.13,120,2500,4978,O
77,875000,925000,5,2,50,120,3000,5546,O
78,1047000,1098000,4,3,50,120,1500,4854,O
80,2080000,2189000,6,7,85,264,5000,12652,O
84,1230000,1249900,5,4,33.6,101.12,3000,6300,O
85,1240000,1300000,5,4,48.25,116.1,2500,6064,O
87,2120000,2199900,5,5,65,132,5000,15259,O
88,900000,975000,3,2,75.44,176.39,2000,4876,O
89,2120000,2228000,5,5,50,130.83,5000,13220,O
92,1222000,1249000,4,3,75,110,3000,7419,O
94,2375000,2499000,4,4,100,179.83,2000,11768,O
95,1300000,1374000,4,4,56.18,120.4,2500,5566,O
96,880000,939000,4,3,50.26,120.11,2500,5911,O
97,1245000,1290000,6,5,64.87,129.21,2500,5906,O
98,870000,875000,4,2,64.63,100.24,1500,5488,O
99,1210000,1250000,4,2,80.08,318.04,2000,5843,O
101,838000,880000,4,3,20.45,130,2000,3630,O
103,2508000,2680000,6,5,50.07,190.4,5000,2073,O
104,855000,799900,5,3,65,120,2500,5118,O
106,2500000,2750000,6,7,77,157.42,5000,17432,O
107,1125000,1169900,4,4,34.12,109.91,2500,5744,O
109,1845000,1999000,5,5,60,125,5000,11792,O
116,1900000,2499900,4,6,59,130,5000,15977,O
118,1700000,1850000,4,4,71.6,124.44,3000,8758,O
121,2030000,2099850,5,4,100,179.67,3500,10425,O
125,900000,11000,3,2,50,167.92,1100,5785,O
126,2950000,3199900,6,5,77,156.2,5000,11745,O
128,1123000,1150000,4,3,50,140,2500,6552,O
129,913000,939000,6,4,34.02,106.63,2500,4784,O
130,1070000,995000,4,4,40.03,93.34,2500,6094,O
